,Z,N,M_ex,Esh,alpha2,alpha4,alpha6,S_Z0N1,S_Z0N2,S_Z1N0,S_Z2N0,exist
3236,70,165,275.4,0.37,0.128,-0.053,0.002,-1.198999999999982,-0.737999999999996,21.35900000000005,41.52800000000005,False
3237,70,166,283.19,0.58,0.124,-0.055,0.005,0.28099999999997927,-0.9180000000000028,21.678999999999988,41.828,False
3238,70,167,292.64,0.77,0.122,-0.06,0.009,-1.378999999999989,-1.0980000000000096,21.678999999999988,42.24800000000002,False
3239,70,168,300.54,0.94,0.108,-0.048,0.007,0.17099999999996562,-1.2080000000000233,22.008999999999972,42.43799999999996,False
3240,71,77,-16.35,-1.75,-0.121,-0.026,0.019,11.811000000000002,25.562,-1.3309999999999977,-0.46199999999999974,False
3241,71,78,-21.66,-1.89,-0.099,-0.03,0.014,13.380999999999998,25.192,-1.3409999999999993,0.018000000000000682,False
3242,71,79,-25.08,-2.13,-0.079,-0.036,0.004,11.490999999999998,24.871999999999996,-0.881000000000002,0.477999999999998,False
3243,71,80,-30.35,-2.75,0.03,-0.021,0.007,13.341000000000003,24.832,-0.8609999999999989,0.958000000000002,False
3244,71,81,-33.94,-3.66,0.014,-0.009,0.003,11.660999999999996,25.002,-0.3110000000000017,1.5479999999999983,False
3245,71,82,-39.3,-4.87,0.004,0.0,0.0,13.431,25.091999999999995,-0.2810000000000006,2.1279999999999966,False
3246,71,83,-40.47,-3.83,0.015,0.01,0.003,9.241000000000001,22.672,0.25899999999999856,2.718,True
3247,71,84,-43.31,-3.01,0.029,0.023,0.007,10.911000000000003,20.152000000000005,0.30900000000000283,3.2979999999999983,True
3248,71,85,-44.35,-2.31,0.041,0.026,0.004,9.110999999999999,20.022000000000002,0.859,3.8880000000000017,True
3249,71,86,-46.98,-1.75,0.051,0.034,0.0,10.700999999999995,19.811999999999994,0.888999999999994,4.457999999999995,True
3250,71,87,-47.89,-1.36,0.062,0.036,-0.001,8.981000000000003,19.682,1.359,4.918000000000003,True
3251,71,88,-50.31,-1.04,0.071,0.037,-0.004,10.491000000000001,19.472000000000005,1.349000000000002,5.408000000000005,True
3252,71,89,-50.93,-0.79,0.08,0.034,-0.006,8.690999999999997,19.182,1.8289999999999988,6.028000000000002,True
3253,71,90,-53.02,-0.59,0.088,0.032,-0.007,10.161000000000003,18.852,1.9190000000000023,6.648,True
3254,71,91,-53.29,-0.4,0.095,0.031,-0.013,8.340999999999996,18.502,2.4389999999999983,7.167999999999996,True
3255,71,92,-55.0,-0.24,0.102,0.028,-0.017,9.781,18.121999999999996,2.4489999999999963,7.657999999999998,True
3256,71,93,-54.96,-0.14,0.108,0.024,-0.017,8.031,17.812,2.898999999999999,8.098000000000003,True
3257,71,94,-56.38,-0.1,0.118,0.03,-0.018,9.491000000000001,17.522000000000002,2.869000000000005,8.508,True
3258,71,95,-56.08,-0.14,0.127,0.034,-0.02,7.7709999999999955,17.261999999999997,3.2889999999999997,8.917999999999996,True
3259,71,96,-57.29,-0.28,0.13,0.025,-0.022,9.281,17.051999999999996,3.328999999999999,9.458000000000002,True
3260,71,97,-56.7,-0.41,0.139,0.028,-0.025,7.481000000000003,16.762000000000004,3.7490000000000006,9.838000000000005,True
3261,71,98,-57.58,-0.6,0.145,0.027,-0.028,8.950999999999995,16.432,3.7289999999999974,10.347999999999995,True
3262,71,99,-56.72,-0.82,0.145,0.013,-0.029,7.211,16.161999999999995,4.238999999999995,10.877999999999997,True
3263,71,100,-57.3,-1.1,0.157,0.027,-0.023,8.650999999999998,15.861999999999998,4.318999999999994,11.417999999999996,True
3264,71,101,-56.12,-1.35,0.159,0.019,-0.027,6.891,15.541999999999998,4.808999999999996,11.937999999999999,True
3265,71,102,-56.23,-1.51,0.162,0.008,-0.026,8.181,15.072,4.758999999999999,12.337999999999997,True
3266,71,103,-54.71,-1.76,0.165,-0.001,-0.029,6.551000000000004,14.732000000000003,5.228999999999997,12.878000000000004,True
3267,71,104,-54.54,-2.0,0.162,-0.01,-0.025,7.900999999999998,14.452000000000002,5.319000000000001,13.398,True
3268,71,105,-52.67,-2.24,0.162,-0.014,-0.021,6.201000000000002,14.102,5.828999999999999,13.998000000000001,True
3269,71,106,-52.21,-2.52,0.162,-0.023,-0.022,7.610999999999999,13.812000000000001,5.839000000000004,14.538,True
3270,71,107,-50.0,-2.73,0.157,-0.033,-0.017,5.860999999999999,13.471999999999998,6.349000000000002,15.428,True
3271,71,108,-49.12,-2.92,0.158,-0.041,-0.019,7.190999999999997,13.051999999999996,6.548999999999998,16.288,True
3272,71,109,-46.56,-3.11,0.153,-0.046,-0.012,5.511000000000005,12.702000000000002,7.389000000000001,17.148,True
3273,71,110,-45.0,-2.94,0.152,-0.048,-0.01,6.5109999999999975,12.022000000000002,7.4890000000000025,17.758,True
3274,71,111,-41.8,-2.78,0.144,-0.058,0.0,4.870999999999997,11.381999999999994,8.008999999999999,18.328,True
3275,71,112,-39.83,-2.52,0.14,-0.065,0.006,6.101000000000001,10.971999999999998,8.048999999999998,18.807999999999996,True
3276,71,113,-36.16,-2.18,0.14,-0.07,0.006,4.400999999999998,10.501999999999999,8.458999999999994,19.187999999999995,True
3277,71,114,-34.02,-2.05,0.12,-0.058,0.007,5.931000000000006,10.332000000000004,8.519000000000004,19.728,True
3278,71,115,-30.37,-2.02,-0.138,0.011,0.022,4.420999999999998,10.352000000000004,8.979000000000001,20.318,True
3279,71,116,-28.23,-2.19,-0.13,0.002,0.022,5.930999999999999,10.351999999999997,9.039,20.868,True
3280,71,117,-24.41,-2.26,-0.12,-0.008,0.013,4.2509999999999994,10.181999999999999,9.578999999999999,21.358,True
3281,71,118,-22.09,-2.53,-0.116,-0.017,0.016,5.7509999999999994,10.001999999999999,9.578999999999999,21.948,True
3282,71,119,-17.99,-2.59,-0.105,-0.023,0.011,3.9709999999999983,9.721999999999998,9.998999999999999,22.238,True
3283,71,120,-15.34,-2.8,-0.096,-0.027,0.013,5.421000000000001,9.392,9.969,22.497999999999998,True
3284,71,121,-11.31,-3.21,0.043,-0.019,0.0,4.041,9.462000000000002,10.299,22.808,True
